Area,BHK,Bathroom,IsFurnished,Parking,Price,isApartment
2970,7,4,1,1,26500000,0
2250,3,2,1,1,18500000,0
1500,5,3,1,1,30000000,0
1512,2,2,1,1,22000000,0
400,2,2,1,1,9000000,0
2160,3,3,1,1,65000000,0
630,3,2,1,1,22500000,0
324,6,3,1,1,8700000,0
720,6,5,1,1,22000000,0
675,4,2,1,2,18500000,0
700,2,1,1,2,16000000,0
675,4,3,1,2,16000000,0
720,4,2,1,2,9000000,0
850,2,2,1,1,4500000,0
801,3,2,0,1,6000000,0
450,1,2,1,1,2700000,0
1000,3,2,1,1,6500000,1
990,3,2,1,1,4000000,1
420,2,1,0,1,2600000,0
450,2,1,0,1,3500000,0
1000,2,2,1,1,7500000,1
900,3,2,0,1,7000000,0
800,3,2,0,1,4500000,0
720,3,3,0,2,5500000,0
450,2,1,0,2,2700000,0
675,2,2,1,2,2400000,0
1700,4,3,1,2,11500000,0
550,2,2,1,2,3600000,0
387,1,2,1,2,1700000,0
450,2,1,1,2,2500000,1
900,4,2,1,1,6600000,0
500,2,1,0,1,3700000,0
441,2,1,1,1,3500000,1
800,3,2,0,1,5400000,0
450,2,2,0,1,2550000,0
1000,3,3,1,1,12500000,0
715,2,2,1,1,5600000,1
600,2,2,1,1,7000000,0
540,2,1,1,1,3500000,0
312,4,4,1,1,35000000,1
810,3,2,0,1,9000000,0
270,1,1,0,1,2300000,0
900,3,2,0,1,6000000,0
1000,3,2,1,1,6000000,1
540,2,2,0,1,2650000,0
950,3,2,1,1,4370000,1
1000,3,2,1,1,4620000,1
540,2,2,0,1,3000000,1
540,2,2,0,1,3300000,1
1000,3,2,0,1,5510000,0
500,2,2,0,1,3200000,0
540,2,2,0,1,2600000,0
780,3,2,0,1,4000000,0
450,2,1,0,1,1850000,0
360,1,1,0,1,1700000,0
900,3,2,0,1,2800000,0
495,2,2,0,1,2150000,0
1200,4,3,0,1,6800000,0
1000,3,2,0,1,6200000,0
620,2,2,0,1,3100000,0
680,3,2,0,1,3400000,0
805,2,2,1,1,4000000,0
729,2,2,0,1,4800000,0
540,2,2,0,1,2500000,0
360,1,1,0,1,2000000,0
550,2,2,0,1,1900000,0
1001,3,2,1,1,5800000,0
450,2,2,1,1,2900000,0
550,2,1,0,1,2000000,0
550,2,2,0,1,2600000,0
675,2,1,1,1,2900000,0
585,2,2,1,1,3200000,0
810,3,2,0,1,5400000,0
765,3,2,0,1,3800000,0
4688,5,4,1,1,135000000,1
3901,4,4,1,1,93000000,1
70,2,3,1,1,8200000,0
800,3,2,1,1,8000000,0
900,3,2,0,1,9500000,0
1680,4,5,0,1,20000000,0
900,2,2,1,3,7400000,0
2000,3,3,0,1,37500000,1
2000,4,4,0,3,15000000,0
1900,3,3,0,1,55300000,1
1530,3,3,0,2,26500000,0
100,3,2,0,2,16000000,1
900,3,2,1,2,10400000,0
270,1,1,1,2,1700000,0
950,2,2,0,2,8000000,0
1800,3,3,0,2,27000000,0
1500,3,3,0,2,19500000,0
1800,3,3,1,3,50000000,1
1800,3,3,1,3,21100000,0
2306,3,3,1,1,57000000,1
850,2,3,0,1,5900000,0
140,3,2,1,1,12000000,0
900,3,2,1,1,12000000,0
1800,3,3,1,1,24000000,1
200,1,1,0,1,7000000,1
1782,3,3,0,1,15000000,1
900,2,2,1,1,1500000,0
405,2,1,0,1,3950000,1
1500,3,3,1,1,12500000,0
66,3,1,1,1,1600000,1
2000,4,4,1,2,36500000,1
1200,3,2,0,1,20000000,1
1100,2,2,0,1,15000000,1
1400,3,2,0,2,25000000,1
1600,3,2,0,2,18500000,1
1600,4,3,1,2,23500000,1
600,1,1,0,1,8000000,1
1600,3,2,1,1,23000000,1
2000,3,3,1,1,31000000,1
650,1,2,0,1,7400000,1
1100,2,2,1,1,15500000,1
1075,2,2,0,2,12000000,1
1450,3,2,0,2,23500000,1
1200,3,2,0,2,25000000,1
600,1,2,1,2,7000000,1
1000,2,2,1,1,17500000,1
1600,3,2,0,1,25000000,1
